product_name,vendor_name
OUD LOVERS,LPG
INTENSE SIGNATURE,LPG
ARBE PURO COMBO,LPG
CHERIE BLOSSOM,LPG
VELORA POP HEART,LPG
VELORA SUGAR BLISS,LPG
VELORA VIVA CHOCO,LPG
ASTORIA,LPG
JENAN,LPG
NAJAH PISTACHIO,LPG
LEON,LPG
OPUS,LPG
ENIGMA,LPG
RANIA,LPG
PREMIUM EDITION,OUD AL SALAM
ABSOLUTE MOUNTAIN AVENUE,OUD AL SALAM
SEVEN DAY,RT
OLD MEMORIES,RT
ARCHER COMBO,ATYAF
HECTOR,ATYAF
MIRAMAR,ATYAF
ASEEL COMBO,ATYAF
SHADOW FLAME,ATYAF
VOLGA COMBO,ATYAF
COLLECTION OF MOOD,ATYAF
DOE COLLECTION,SCENT PASSION
ESENCIA FLORAL COLLECTION,SCENT PASSION
CLIVE COLLECTION,SCENT PASSION
AMEERAT AL ARAB,SCENT PASSION
